id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
1,6230,0,0,0,0,99.99,51,Inner Regional Australia,4.632075471698113,4.8
2,3124,0,0,0,100,0,20,Major Cities of Australia,9.349397590361447,9
3,3134,0,0,0,100,0,20,Major Cities of Australia,7.288135593220339,8.6
4,2572,0,0,0,0,100,11,Inner Regional Australia,6.333333333333333,7.333333333333333
5,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
6,2262,0,0,0,99.72,0.03,10,Major Cities of Australia,2.8793103448275863,3.75
7,3082,0,0,0,100,0,20,Major Cities of Australia,4.947916666666667,4.75
8,2284,0,0,0,99.72,0,10,Major Cities of Australia,3.9285714285714284,4.6
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7109,98.98,0.01,0,0,0.96,62,Outer Regional Australia,4.28125,3.6
11,3130,0,0,0,100,0,20,Major Cities of Australia,7.381443298969073,7.1
12,3555,0,0,0,0,100,21,Inner Regional Australia,3.8983050847457625,5.4
13,3071,0,0,0,100,0,20,Major Cities of Australia,6.492307692307692,7.375
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
18,3352,1.78,0,0,0,98.22,21,Inner Regional Australia,5.9245283018867925,4.705882352941177
19,3462,0,0,0,0,100,21,Inner Regional Australia,4.5,5
20,4680,67.95,12.26,0,0,19.77,32,Outer Regional Australia,4.371212121212121,3.8
21,3075,0,0,0,100,0,20,Major Cities of Australia,1.8676470588235294,3.6666666666666665
22,3057,0,0,0,100,0,20,Major Cities of Australia,7.3023255813953485,7.857142857142857
23,5066,0,0,0,100,0,40,Major Cities of Australia,9.117647058823529,9.6
24,3213,0,0,0,4.68,95.32,21,Inner Regional Australia,5.3076923076923075,5
25,3013,0,0,0,100,0,20,Major Cities of Australia,7.659090909090909,6.166666666666667
26,2263,0,0,0,99.49,0,10,Major Cities of Australia,2.878787878787879,3.5714285714285716
27,3081,0,0,0,100,0,20,Major Cities of Australia,4.558139534883721,5.857142857142857
28,3756,0,0,0,8.95,91.05,21,Inner Regional Australia,6.133333333333334,6.333333333333333
29,3183,0,0,0,100,0,20,Major Cities of Australia,8.015384615384615,9
30,3049,0,0,0,100,0,20,Major Cities of Australia,4.390243902439025,3.857142857142857
31,3082,0,0,0,100,0,20,Major Cities of Australia,4.947916666666667,4.75
32,3039,0,0,0,100,0,20,Major Cities of Australia,7.877551020408164,7.6
33,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
34,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
35,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
36,4122,0,0,0,100,0,30,Major Cities of Australia,6.768,7.538461538461538
37,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
38,810,99.86,0,0,0,0,72,Outer Regional Australia,6.506172839506172,6.294117647058823
39,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
40,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
41,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
42,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
45,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
46,2612,0,0,0,100,0,80,Major Cities of Australia,8.26530612244898,8.727272727272727
47,3450,0,0,0,0,100,21,Inner Regional Australia,4.37037037037037,4.5
48,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
49,3677,0,0,0,0,100,21,Inner Regional Australia,4.2407407407407405,5
50,3678,42.21,0,0,0,57.79,21,Inner Regional Australia,6.081632653061225,5.222222222222222
51,7150,87.93,0,0,0,11.92,62,Outer Regional Australia,6.230769230769231,5.2
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
54,3451,0,0,0,0,100,21,Inner Regional Australia,4.888888888888889,4.666666666666667
55,3556,0,0,0,0,100,21,Inner Regional Australia,3.4651162790697674,4.714285714285714
56,3555,0,0,0,0,100,21,Inner Regional Australia,3.8983050847457625,5.4
57,6054,0,0,0,99.99,0,50,Major Cities of Australia,4.532258064516129,5
58,3765,0,0,0,100,0,20,Major Cities of Australia,7.666666666666667,7.571428571428571
59,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
60,3442,0,0,0,0,100,21,Inner Regional Australia,7.896551724137931,8
61,3083,0,0,0,100,0,20,Major Cities of Australia,5.388349514563107,4.9
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
64,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
65,3431,0,0,0,0,100,21,Inner Regional Australia,8,8
66,3174,0,0,0,100,0,20,Major Cities of Australia,2.1964285714285716,2.4444444444444446
67,3931,0,0,0,99.84,0,20,Major Cities of Australia,6.064516129032258,8
68,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
69,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2650,28.62,0,0,0,71.38,11,Inner Regional Australia,5.536144578313253,4.181818181818182
72,5007,0,0,0,100,0,40,Major Cities of Australia,4.0285714285714285,5.6
73,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
74,3556,0,0,0,0,100,21,Inner Regional Australia,3.4651162790697674,4.714285714285714
75,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
76,3013,0,0,0,100,0,20,Major Cities of Australia,7.659090909090909,6.166666666666667
77,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
78,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
79,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
80,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
81,6230,0,0,0,0,99.99,51,Inner Regional Australia,4.632075471698113,4.8
82,2640,36.260000000000005,0,0,0,63.730000000000004,11,Inner Regional Australia,5.5701754385964914,4.090909090909091
83,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
84,6019,0,0,0,99.93,0,50,Major Cities of Australia,8.797101449275363,9.428571428571429
85,3073,0,0,0,100,0,20,Major Cities of Australia,3.576923076923077,3.3636363636363638
86,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
87,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
88,3223,0,0,0,0,99.9,21,Inner Regional Australia,4.052631578947368,6
89,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
90,3145,0,0,0,100,0,20,Major Cities of Australia,8.189473684210526,8.583333333333334
91,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
92,6151,0,0,0,99.74,0,50,Major Cities of Australia,8.125,6.6
93,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
94,4020,0,0,0,99.82,0,30,Major Cities of Australia,4.5,3.25
95,3165,0,0,0,100,0,20,Major Cities of Australia,7.662337662337662,7.6
96,3166,0,0,0,100,0,20,Major Cities of Australia,6.476744186046512,7.625
97,3160,0,0,0,100,0,20,Major Cities of Australia,7.925,8.75
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
100,2534,0,0,0,0,99.94,11,Inner Regional Australia,8.210526315789474,7.666666666666667
101,3011,0,0,0,100,0,20,Major Cities of Australia,5.333333333333333,6.333333333333333
102,3031,0,0,0,100,0,20,Major Cities of Australia,6.533333333333333,5.857142857142857
103,3000,0,0,0,100,0,20,Major Cities of Australia,4.931034482758621,6.625
104,3183,0,0,0,100,0,20,Major Cities of Australia,8.015384615384615,9
105,3108,0,0,0,100,0,20,Major Cities of Australia,6.615384615384615,8
106,3440,0,0,0,0,100,21,Inner Regional Australia,9,9.333333333333334
107,3081,0,0,0,100,0,20,Major Cities of Australia,4.558139534883721,5.857142857142857
108,3082,0,0,0,100,0,20,Major Cities of Australia,4.947916666666667,4.75
109,2601,0,0,0,100,0,80,Major Cities of Australia,8.9,9
110,3232,0,0,0,0,99.98,21,Inner Regional Australia,7,6
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,3183,0,0,0,100,0,20,Major Cities of Australia,8.015384615384615,9
113,3356,0,0,0,0,100,21,Inner Regional Australia,3.0444444444444443,5.6
114,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
115,3977,0,0,0,78.19,21.8,20,Major Cities of Australia,5.135371179039302,5.666666666666667
116,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,3101,0,0,0,100,0,20,Major Cities of Australia,9.117647058823529,9.3
119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2480,0,0,0,0,100,11,Inner Regional Australia,4.248322147651007,3.7
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7011,0,0,0,0,99.93,61,Inner Regional Australia,3.24,2.8
123,3305,99.98,0,0,0,0,22,Outer Regional Australia,3.8,3
124,3182,0,0,0,99.68,0,20,Major Cities of Australia,7.6923076923076925,9
125,3690,0,0,0,0,100,21,Inner Regional Australia,4.616279069767442,4.6
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3028,0,0,0,99.92,0,20,Major Cities of Australia,4.475609756097561,6.5
128,3088,0,0,0,100,0,20,Major Cities of Australia,8.209523809523809,8.555555555555555
129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,3073,0,0,0,100,0,20,Major Cities of Australia,3.576923076923077,3.3636363636363638
131,3338,0,0,0,36.67,63.33,21,Inner Regional Australia,3.404255319148936,4
132,2620,0,0,0,3.8000000000000003,96.19999999999999,11,Inner Regional Australia,7.280575539568345,7.588235294117647
133,4221,0,0,0,99.85,0,30,Major Cities of Australia,5.8765432098765435,6.333333333333333
134,3075,0,0,0,100,0,20,Major Cities of Australia,1.8676470588235294,3.6666666666666665
135,2350,95.01,0,0,0,4.99,12,Outer Regional Australia,5.232876712328767,3.3333333333333335
136,2119,0,0,0,100,0,10,Major Cities of Australia,9.581395348837209,9.25
137,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
138,3094,0,0,0,100,0,20,Major Cities of Australia,8.621621621621621,9.25
139,820,99.88,0,0,0,0,72,Outer Regional Australia,7.6909090909090905,7
140,3564,0.02,0,0,0,99.97999999999999,21,Inner Regional Australia,4.816666666666666,3.875
141,3564,0.02,0,0,0,99.97999999999999,21,Inner Regional Australia,4.816666666666666,3.875
142,2560,0,0,0,25.44,74.56,11,Inner Regional Australia,4.082901554404145,5.384615384615385
143,6230,0,0,0,0,99.99,51,Inner Regional Australia,4.632075471698113,4.8
144,7050,0,0,0,0,100,61,Inner Regional Australia,6.333333333333333,7.666666666666667
145,5290,0,0,0,0,100,41,Inner Regional Australia,3.8358208955223883,2.5
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,2089,0,0,0,98.61,0,10,Major Cities of Australia,9.457142857142857,10
149,2040,0,0,0,99.72,0,10,Major Cities of Australia,8.35,8.8
150,2569,0,0,0,24.49,75.51,11,Inner Regional Australia,7.888888888888889,9
151,2560,0,0,0,25.44,74.56,11,Inner Regional Australia,4.082901554404145,5.384615384615385
152,3044,0,0,0,100,0,20,Major Cities of Australia,6.488888888888889,6.444444444444445
153,3875,100,0,0,0,0,22,Outer Regional Australia,4.126984126984127,4
154,3004,0,0,0,100,0,20,Major Cities of Australia,9.05,8.666666666666666
155,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
156,5333,100,0,0,0,0,42,Outer Regional Australia,4,3.25
157,3698,86.11,0,0,0,13.89,22,Outer Regional Australia,6.5,6
158,3056,0,0,0,100,0,20,Major Cities of Australia,6.917808219178082,7.833333333333333
159,2614,0,0,0,100,0,80,Major Cities of Australia,7.703125,8.076923076923077
160,3201,0,0,0,100,0,20,Major Cities of Australia,4.75,5
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,2100,0,0,0,100,0,10,Major Cities of Australia,8.451219512195122,9.4
163,2756,70.92,0,0,6.43,22.64,12,Outer Regional Australia,5.9,6.909090909090909
164,2340,78.87,0,0,0,21.13,12,Outer Regional Australia,4.608391608391608,3.25
165,5260,0.01,0,0,0,99.99,41,Inner Regional Australia,2.727272727272727,3.5
166,3043,0,0,0,100,0,20,Major Cities of Australia,4.311475409836065,5.888888888888889
167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,3147,0,0,0,100,0,20,Major Cities of Australia,7.730769230769231,9
169,5024,0,0,0,99.81,0,40,Major Cities of Australia,6.4,6.142857142857143
170,6003,0,0,0,100,0,50,Major Cities of Australia,6.571428571428571,8.5
171,3011,0,0,0,100,0,20,Major Cities of Australia,5.333333333333333,6.333333333333333
172,2583,63.22,0,0,0,36.78,12,Outer Regional Australia,4.541666666666667,5
173,3809,0,0,0,58.8,41.2,20,Major Cities of Australia,7.111111111111111,6.714285714285714
174,3690,0,0,0,0,100,21,Inner Regional Australia,4.616279069767442,4.6
175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,5096,0,0,0,100,0,40,Major Cities of Australia,4.7272727272727275,4
177,7010,0,0,0,0,99.84,61,Inner Regional Australia,2.4166666666666665,2.8333333333333335
178,3451,0,0,0,0,100,21,Inner Regional Australia,4.888888888888889,4.666666666666667
179,3088,0,0,0,100,0,20,Major Cities of Australia,8.209523809523809,8.555555555555555
180,3810,0,0,0,45.54,54.46,21,Inner Regional Australia,5.083333333333333,6.5
181,2749,0,0,0,100,0,10,Major Cities of Australia,6.0344827586206895,6
182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,3084,0,0,0,100,0,20,Major Cities of Australia,8.506024096385541,7.875
184,2142,0,0,0,100,0,10,Major Cities of Australia,2.642857142857143,3.2
185,3072,0,0,0,100,0,20,Major Cities of Australia,4.549450549450549,5
186,6069,0,0,0,73.8,26.2,50,Major Cities of Australia,6.118279569892473,6.8
187,870,0,100,0,0,0,73,Remote Australia,5.586206896551724,4.571428571428571
188,3977,0,0,0,78.19,21.8,20,Major Cities of Australia,5.135371179039302,5.666666666666667
189,3570,13.07,0,0,0,86.93,21,Inner Regional Australia,5.090909090909091,4.333333333333333
190,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
191,3042,0,0,0,100,0,20,Major Cities of Australia,6.384615384615385,8
192,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,3095,0,0,0,100,0,20,Major Cities of Australia,9.267326732673267,9.571428571428571
195,5277,100,0,0,0,0,42,Outer Regional Australia,5.25,4.5
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,5007,0,0,0,100,0,40,Major Cities of Australia,4.0285714285714285,5.6
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,3161,0,0,0,100,0,20,Major Cities of Australia,8.642857142857142,9.375
201,2611,52.11,0,0,1.75,46.14,12,Outer Regional Australia,8.454545454545455,8.578947368421053
202,3212,0,0,0,27.48,72.47,21,Inner Regional Australia,5.7317073170731705,4
203,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,3085,0,0,0,100,0,20,Major Cities of Australia,7.6923076923076925,7.125
205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,3350,0,0,0,0,100,21,Inner Regional Australia,5.228395061728395,5.125
207,3429,0,0,0,50.38,49.62,20,Major Cities of Australia,6.163043478260869,7.666666666666667
208,2830,92.28,0,0,0,7.72,12,Outer Regional Australia,4.716814159292035,3
209,3170,0,0,0,100,0,20,Major Cities of Australia,5.75,6
210,3040,0,0,0,100,0,20,Major Cities of Australia,8.182795698924732,8.125
211,3658,0,0,0,0,100,21,Inner Regional Australia,5.129032258064516,6
212,6562,0,0,0,0,100,51,Inner Regional Australia,5,4.5
213,5159,0,0,0,99.9,0.1,40,Major Cities of Australia,7.303921568627451,8.2
214,7310,88.51,0,0,0,11.44,62,Outer Regional Australia,3.2,3.3
215,3049,0,0,0,100,0,20,Major Cities of Australia,4.390243902439025,3.857142857142857
216,3043,0,0,0,100,0,20,Major Cities of Australia,4.311475409836065,5.888888888888889
217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,3134,0,0,0,100,0,20,Major Cities of Australia,7.288135593220339,8.6
219,3350,0,0,0,0,100,21,Inner Regional Australia,5.228395061728395,5.125
220,3021,0,0,0,100,0,20,Major Cities of Australia,1.7417218543046358,3.3076923076923075
221,3087,0,0,0,100,0,20,Major Cities of Australia,7.075,7.833333333333333
222,3158,0,0,0,100,0,20,Major Cities of Australia,7.967741935483871,8.8
223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,5280,99.99,0,0,0,0,42,Outer Regional Australia,4.166666666666667,4.166666666666667
225,2450,57.23,0,0,0,42.76,12,Outer Regional Australia,4.340579710144928,3.7
226,7140,14.83,84.01,0,0,1.14,63,Remote Australia,2.893617021276596,2.1666666666666665
227,2614,0,0,0,100,0,80,Major Cities of Australia,7.703125,8.076923076923077
228,3741,100,0,0,0,0,22,Outer Regional Australia,5.105263157894737,5.5
229,3691,39.64,0,0,0,60.35,21,Inner Regional Australia,7.105263157894737,5.2
230,3450,0,0,0,0,100,21,Inner Regional Australia,4.37037037037037,4.5
231,3690,0,0,0,0,100,21,Inner Regional Australia,4.616279069767442,4.6
232,3215,0,0,0,99.91,0.05,20,Major Cities of Australia,3.925373134328358,3.5
233,4870,99.99,0,0,0,0,32,Outer Regional Australia,4.916256157635468,4.142857142857143
234,5125,0,0,0,100,0,40,Major Cities of Australia,6.892307692307693,6.75
235,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
236,3212,0,0,0,27.48,72.47,21,Inner Regional Australia,5.7317073170731705,4
237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
239,3084,0,0,0,100,0,20,Major Cities of Australia,8.506024096385541,7.875
240,3073,0,0,0,100,0,20,Major Cities of Australia,3.576923076923077,3.3636363636363638
241,2045,0,0,0,99.95,0,10,Major Cities of Australia,7.666666666666667,8.2
242,3012,0,0,0,100,0,20,Major Cities of Australia,4.98936170212766,5
243,3450,0,0,0,0,100,21,Inner Regional Australia,4.37037037037037,4.5
244,3183,0,0,0,100,0,20,Major Cities of Australia,8.015384615384615,9
245,7011,0,0,0,0,99.93,61,Inner Regional Australia,3.24,2.8
246,6076,0,0,0,41.2,58.8,51,Inner Regional Australia,7.833333333333333,6.9
247,3187,0,0,0,100,0,20,Major Cities of Australia,8.712121212121213,9
248,3094,0,0,0,100,0,20,Major Cities of Australia,8.621621621621621,9.25
249,3977,0,0,0,78.19,21.8,20,Major Cities of Australia,5.135371179039302,5.666666666666667
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,3081,0,0,0,100,0,20,Major Cities of Australia,4.558139534883721,5.857142857142857
